Job ID     : 162758
Node       : b-19-50
Start time : Sat Apr 11 13:39:59 EDT 2026
Starting training...
Device: cuda
  GPU: NVIDIA A100-SXM4-40GB
Loaded channel stats from /scratch/va2661/data/active_matter/stats.yaml
  Raw stats keys: ['mean', 'mean_delta', 'rms', 'rms_delta', 'std', 'std_delta']
  mean: ['1.0000', '-0.0000', '0.0000', '0.5018', '-0.0062', '-0.0062', '0.4982', '0.0000', '0.0000', '0.0000', '-0.0000']
  std : ['0.0030', '0.5772', '0.5671', '0.3201', '0.3311', '0.3311', '0.3202', '0.4073', '0.4322', '0.4322', '0.4073']
Dataset sizes  — train: 11,550  val: 1,584  test: 1,716
Batches/epoch  — train: 721  val: 99

Model parameters: encoder=2.86M  predictor=0.64M  total=3.50M

Starting training from epoch 0 / 50

  Epoch 000 [   0/721]  loss=0.4378  lr=0.00e+00  ema_tau=0.99600
  Epoch 000 [  20/721]  loss=0.4374  lr=4.16e-07  ema_tau=0.99600
  Epoch 000 [  40/721]  loss=0.4347  lr=8.32e-07  ema_tau=0.99600
  Epoch 000 [  60/721]  loss=0.4278  lr=1.25e-06  ema_tau=0.99600
  Epoch 000 [  80/721]  loss=0.4198  lr=1.66e-06  ema_tau=0.99600
  Epoch 000 [ 100/721]  loss=0.4128  lr=2.08e-06  ema_tau=0.99600
  Epoch 000 [ 120/721]  loss=0.4045  lr=2.50e-06  ema_tau=0.99600
  Epoch 000 [ 140/721]  loss=0.4000  lr=2.91e-06  ema_tau=0.99600
  Epoch 000 [ 160/721]  loss=0.3913  lr=3.33e-06  ema_tau=0.99600
  Epoch 000 [ 180/721]  loss=0.3882  lr=3.74e-06  ema_tau=0.99600
  Epoch 000 [ 200/721]  loss=0.3843  lr=4.16e-06  ema_tau=0.99600
  Epoch 000 [ 220/721]  loss=0.3771  lr=4.58e-06  ema_tau=0.99600
  Epoch 000 [ 240/721]  loss=0.3758  lr=4.99e-06  ema_tau=0.99600
  Epoch 000 [ 260/721]  loss=0.3708  lr=5.41e-06  ema_tau=0.99600
  Epoch 000 [ 280/721]  loss=0.3704  lr=5.83e-06  ema_tau=0.99600
  Epoch 000 [ 300/721]  loss=0.3610  lr=6.24e-06  ema_tau=0.99600
  Epoch 000 [ 320/721]  loss=0.3635  lr=6.66e-06  ema_tau=0.99600
  Epoch 000 [ 340/721]  loss=0.3550  lr=7.07e-06  ema_tau=0.99600
  Epoch 000 [ 360/721]  loss=0.3554  lr=7.49e-06  ema_tau=0.99600
  Epoch 000 [ 380/721]  loss=0.3541  lr=7.91e-06  ema_tau=0.99600
  Epoch 000 [ 400/721]  loss=0.3480  lr=8.32e-06  ema_tau=0.99600
  Epoch 000 [ 420/721]  loss=0.3381  lr=8.74e-06  ema_tau=0.99600
  Epoch 000 [ 440/721]  loss=0.3422  lr=9.15e-06  ema_tau=0.99600
  Epoch 000 [ 460/721]  loss=0.3360  lr=9.57e-06  ema_tau=0.99600
  Epoch 000 [ 480/721]  loss=0.3340  lr=9.99e-06  ema_tau=0.99600
  Epoch 000 [ 500/721]  loss=0.3269  lr=1.04e-05  ema_tau=0.99600
  Epoch 000 [ 520/721]  loss=0.3296  lr=1.08e-05  ema_tau=0.99600
  Epoch 000 [ 540/721]  loss=0.3211  lr=1.12e-05  ema_tau=0.99600
  Epoch 000 [ 560/721]  loss=0.3168  lr=1.17e-05  ema_tau=0.99600
  Epoch 000 [ 580/721]  loss=0.3160  lr=1.21e-05  ema_tau=0.99600
  Epoch 000 [ 600/721]  loss=0.3058  lr=1.25e-05  ema_tau=0.99600
  Epoch 000 [ 620/721]  loss=0.3027  lr=1.29e-05  ema_tau=0.99600
  Epoch 000 [ 640/721]  loss=0.3055  lr=1.33e-05  ema_tau=0.99600
  Epoch 000 [ 660/721]  loss=0.3001  lr=1.37e-05  ema_tau=0.99600
  Epoch 000 [ 680/721]  loss=0.2998  lr=1.41e-05  ema_tau=0.99600
  Epoch 000 [ 700/721]  loss=0.2957  lr=1.46e-05  ema_tau=0.99600
  Epoch 000 [ 720/721]  loss=0.2897  lr=1.50e-05  ema_tau=0.99600

Epoch 000 done | avg_loss=0.3573 | time=391.1s
  Collapse check — embed_std=0.0194  mean_cos_sim=0.9188
  Val loss: 0.2831
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa_run3/latest.pt
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa_run3/epoch_0000.pt
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa_run3/best.pt

  Epoch 001 [   0/721]  loss=0.2888  lr=1.50e-05  ema_tau=0.99600
  Epoch 001 [  20/721]  loss=0.2870  lr=1.54e-05  ema_tau=0.99600
  Epoch 001 [  40/721]  loss=0.2850  lr=1.58e-05  ema_tau=0.99600
  Epoch 001 [  60/721]  loss=0.2676  lr=1.62e-05  ema_tau=0.99600
  Epoch 001 [  80/721]  loss=0.2668  lr=1.67e-05  ema_tau=0.99600
  Epoch 001 [ 100/721]  loss=0.2603  lr=1.71e-05  ema_tau=0.99601
  Epoch 001 [ 120/721]  loss=0.2595  lr=1.75e-05  ema_tau=0.99601
  Epoch 001 [ 140/721]  loss=0.2478  lr=1.79e-05  ema_tau=0.99601
  Epoch 001 [ 160/721]  loss=0.2479  lr=1.83e-05  ema_tau=0.99601
  Epoch 001 [ 180/721]  loss=0.2469  lr=1.87e-05  ema_tau=0.99601
  Epoch 001 [ 200/721]  loss=0.2362  lr=1.92e-05  ema_tau=0.99601
  Epoch 001 [ 220/721]  loss=0.2286  lr=1.96e-05  ema_tau=0.99601
  Epoch 001 [ 240/721]  loss=0.2350  lr=2.00e-05  ema_tau=0.99601
  Epoch 001 [ 260/721]  loss=0.2207  lr=2.04e-05  ema_tau=0.99601
  Epoch 001 [ 280/721]  loss=0.2270  lr=2.08e-05  ema_tau=0.99601
  Epoch 001 [ 300/721]  loss=0.2220  lr=2.12e-05  ema_tau=0.99601
  Epoch 001 [ 320/721]  loss=0.2106  lr=2.17e-05  ema_tau=0.99601
  Epoch 001 [ 340/721]  loss=0.1961  lr=2.21e-05  ema_tau=0.99601
  Epoch 001 [ 360/721]  loss=0.2102  lr=2.25e-05  ema_tau=0.99601
  Epoch 001 [ 380/721]  loss=0.2064  lr=2.29e-05  ema_tau=0.99601
  Epoch 001 [ 400/721]  loss=0.2000  lr=2.33e-05  ema_tau=0.99601
  Epoch 001 [ 420/721]  loss=0.2037  lr=2.37e-05  ema_tau=0.99601
  Epoch 001 [ 440/721]  loss=0.1894  lr=2.42e-05  ema_tau=0.99601
  Epoch 001 [ 460/721]  loss=0.1906  lr=2.46e-05  ema_tau=0.99601
  Epoch 001 [ 480/721]  loss=0.2030  lr=2.50e-05  ema_tau=0.99601
  Epoch 001 [ 500/721]  loss=0.1933  lr=2.54e-05  ema_tau=0.99601
  Epoch 001 [ 520/721]  loss=0.1861  lr=2.58e-05  ema_tau=0.99601
  Epoch 001 [ 540/721]  loss=0.1752  lr=2.62e-05  ema_tau=0.99601
