Job ID     : 162454
Node       : b-19-58
Start time : Fri Apr 10 10:00:28 EDT 2026
Starting training...
Device: cuda
  GPU: NVIDIA A100-SXM4-40GB
Loaded channel stats from /scratch/va2661/data/active_matter/stats.yaml
  Raw stats keys: ['mean', 'mean_delta', 'rms', 'rms_delta', 'std', 'std_delta']
  mean: ['1.0000', '-0.0000', '0.0000', '0.5018', '-0.0062', '-0.0062', '0.4982', '0.0000', '0.0000', '0.0000', '-0.0000']
  std : ['0.0030', '0.5772', '0.5671', '0.3201', '0.3311', '0.3311', '0.3202', '0.4073', '0.4322', '0.4322', '0.4073']
Dataset sizes  — train: 11,550  val: 1,584  test: 1,716
Batches/epoch  — train: 721  val: 99

Model parameters: encoder=23.46M  predictor=3.12M  total=26.58M

Starting training from epoch 0 / 50

  Epoch 000 [   0/721]  loss=0.4480  lr=0.00e+00  ema_tau=0.99600
  Epoch 000 [  20/721]  loss=0.4386  lr=1.66e-06  ema_tau=0.99600
  Epoch 000 [  40/721]  loss=0.4135  lr=3.33e-06  ema_tau=0.99600
  Epoch 000 [  60/721]  loss=0.4006  lr=4.99e-06  ema_tau=0.99600
  Epoch 000 [  80/721]  loss=0.3797  lr=6.66e-06  ema_tau=0.99600
  Epoch 000 [ 100/721]  loss=0.3702  lr=8.32e-06  ema_tau=0.99600
  Epoch 000 [ 120/721]  loss=0.3608  lr=9.99e-06  ema_tau=0.99600
  Epoch 000 [ 140/721]  loss=0.3475  lr=1.17e-05  ema_tau=0.99600
  Epoch 000 [ 160/721]  loss=0.3457  lr=1.33e-05  ema_tau=0.99600
  Epoch 000 [ 180/721]  loss=0.3343  lr=1.50e-05  ema_tau=0.99600
  Epoch 000 [ 200/721]  loss=0.3263  lr=1.66e-05  ema_tau=0.99600
  Epoch 000 [ 220/721]  loss=0.3212  lr=1.83e-05  ema_tau=0.99600
  Epoch 000 [ 240/721]  loss=0.3043  lr=2.00e-05  ema_tau=0.99600
  Epoch 000 [ 260/721]  loss=0.2957  lr=2.16e-05  ema_tau=0.99600
  Epoch 000 [ 280/721]  loss=0.2846  lr=2.33e-05  ema_tau=0.99600
  Epoch 000 [ 300/721]  loss=0.2778  lr=2.50e-05  ema_tau=0.99600
  Epoch 000 [ 320/721]  loss=0.2660  lr=2.66e-05  ema_tau=0.99600
  Epoch 000 [ 340/721]  loss=0.2460  lr=2.83e-05  ema_tau=0.99600
  Epoch 000 [ 360/721]  loss=0.2460  lr=3.00e-05  ema_tau=0.99600
  Epoch 000 [ 380/721]  loss=0.2355  lr=3.16e-05  ema_tau=0.99600
  Epoch 000 [ 400/721]  loss=0.2096  lr=3.33e-05  ema_tau=0.99600
  Epoch 000 [ 420/721]  loss=0.1987  lr=3.50e-05  ema_tau=0.99600
  Epoch 000 [ 440/721]  loss=0.1991  lr=3.66e-05  ema_tau=0.99600
  Epoch 000 [ 460/721]  loss=0.1802  lr=3.83e-05  ema_tau=0.99600
  Epoch 000 [ 480/721]  loss=0.1625  lr=3.99e-05  ema_tau=0.99600
  Epoch 000 [ 500/721]  loss=0.1543  lr=4.16e-05  ema_tau=0.99600
  Epoch 000 [ 520/721]  loss=0.1690  lr=4.33e-05  ema_tau=0.99600
  Epoch 000 [ 540/721]  loss=0.1481  lr=4.49e-05  ema_tau=0.99600
  Epoch 000 [ 560/721]  loss=0.1579  lr=4.66e-05  ema_tau=0.99600
  Epoch 000 [ 580/721]  loss=0.1512  lr=4.83e-05  ema_tau=0.99600
  Epoch 000 [ 600/721]  loss=0.1403  lr=4.99e-05  ema_tau=0.99600
  Epoch 000 [ 620/721]  loss=0.1453  lr=5.16e-05  ema_tau=0.99600
  Epoch 000 [ 640/721]  loss=0.1430  lr=5.33e-05  ema_tau=0.99600
  Epoch 000 [ 660/721]  loss=0.1455  lr=5.49e-05  ema_tau=0.99600
  Epoch 000 [ 680/721]  loss=0.1270  lr=5.66e-05  ema_tau=0.99600
  Epoch 000 [ 700/721]  loss=0.1456  lr=5.83e-05  ema_tau=0.99600
  Epoch 000 [ 720/721]  loss=0.1453  lr=5.99e-05  ema_tau=0.99600

Epoch 000 done | avg_loss=0.2539 | time=407.4s
  Collapse check — embed_std=0.0197  mean_cos_sim=0.8274
  Val loss: 0.1280
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/latest.pt
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/epoch_0000.pt
  Checkpoint saved → /scratch/va2661/data/active_matter/checkpoints/jepa/best.pt

  Epoch 001 [   0/721]  loss=0.1374  lr=6.00e-05  ema_tau=0.99600
  Epoch 001 [  20/721]  loss=0.1565  lr=6.17e-05  ema_tau=0.99600
  Epoch 001 [  40/721]  loss=0.1477  lr=6.33e-05  ema_tau=0.99600
  Epoch 001 [  60/721]  loss=0.1487  lr=6.50e-05  ema_tau=0.99600
  Epoch 001 [  80/721]  loss=0.1373  lr=6.67e-05  ema_tau=0.99600
  Epoch 001 [ 100/721]  loss=0.1452  lr=6.83e-05  ema_tau=0.99601
  Epoch 001 [ 120/721]  loss=0.1663  lr=7.00e-05  ema_tau=0.99601
  Epoch 001 [ 140/721]  loss=0.1636  lr=7.17e-05  ema_tau=0.99601
  Epoch 001 [ 160/721]  loss=0.1599  lr=7.33e-05  ema_tau=0.99601
  Epoch 001 [ 180/721]  loss=0.1446  lr=7.50e-05  ema_tau=0.99601
  Epoch 001 [ 200/721]  loss=0.1457  lr=7.66e-05  ema_tau=0.99601
  Epoch 001 [ 220/721]  loss=0.1499  lr=7.83e-05  ema_tau=0.99601
  Epoch 001 [ 240/721]  loss=0.1464  lr=8.00e-05  ema_tau=0.99601
  Epoch 001 [ 260/721]  loss=0.1492  lr=8.16e-05  ema_tau=0.99601
  Epoch 001 [ 280/721]  loss=0.1451  lr=8.33e-05  ema_tau=0.99601
  Epoch 001 [ 300/721]  loss=0.1581  lr=8.50e-05  ema_tau=0.99601
  Epoch 001 [ 320/721]  loss=0.1656  lr=8.66e-05  ema_tau=0.99601
